full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-11/d3242230.raw.Z,90093,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-06/d99_157.err.Z,2330,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d381200.raw.Z,155522,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-11/d3242330.raw.Z,76535,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-11/d3250230.raw.Z,106555,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-01/d192100.raw.Z,102175,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-01/d231400.raw.Z,150230,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-09/d2640230.raw.Z,84637,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d421930.raw.Z,112445,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-01/d231300.raw.Z,155406,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d422100.raw.Z,113391,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-10/d3021330.raw.Z,36984,Z
/cdiac/cdiac.ornl.gov2/pub6/ndp026c/land_199203_199612/AUG92L.Z,26169645,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-08/d99_236.nrt.Z,1858,Z
/cdiac/cdiac.ornl.gov2/pub5/ndp026c/ship_195112_199712/DEC81O.Z,4010001,Z
/cdiac/cdiac.ornl.gov2/pub6/ndp026c/land_199203_199612/APR92L.Z,24041687,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d381830.raw.Z,126259,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-08/d2401030.raw.Z,149663,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-09/d2590930.raw.Z,135980,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-09/d2591000.raw.Z,141021,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-01/d192200.raw.Z,118763,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-01/d192330.raw.Z,94345,Z
/cdiac/cdiac.ornl.gov2/pub5/ndp026c/land_199203_199612/JUN94L.Z,26283019,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-10/d2980300.raw.Z,136845,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d381600.raw.Z,141623,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-06/d99_162.flx.Z,2588,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-06/d99_160.flx.Z,2615,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-11/d3250400.raw.Z,128543,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d382000.raw.Z,123593,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-09/d2591130.raw.Z,141305,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-08/d2401500.raw.Z,130125,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d381630.raw.Z,142279,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-08/d2410000.raw.Z,77439,Z
/cdiac/cdiac.ornl.gov2/pub5/ndp026c/land_199203_199612/JAN94L.Z,26408555,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1999-08/d2401430.raw.Z,141186,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-02/d381800.raw.Z,128379,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub10/XML_Maggart/TXT/Cdiac.amf.US-SRM.m.txt,0,txt
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ICRCCM-radiative_fluxes/brief/gla.ph1.c24b,10489,c24b
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ICRCCM-radiative_fluxes/brief/gla.ph1.c15,10489,c15
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/2000-01/d91300.raw.Z,142360,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ICRCCM-radiative_fluxes/data/gfdl.ph1.c29,1684637,c29
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ICRCCM-radiative_fluxes/brief/gfdl.ph2.c17,18797,c17
