file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
1876d289_MPG_IMET_pac_155W_1980_2000_DIC.cdf.gz,1329859,1766304,,,0.03813910484313965,
b6e0eef5_d13c.tar.gz,9539617,105359360,,,0.5197443962097168,
8e301f7e_RyofuMaru4_2010_2011.CSV.tar.gz,214505,1464320,,,0.007899284362792969,
0858aee5_ECO_CCSM_section_155W.nc.gz,23024684,28433160,,,0.24289679527282715,
c62b01a3_PIT1.0_ET_PEAU_Alkalini_1948_2004.nc.gz,373607469,536388980,,,5.311598062515259,
46413357_PIT1.0_ET_PEAU_SAL_1948_2004_165W.nc.gz,3464961,5354004,,,0.046222686767578125,
98b9a9cb_McKinley_02Jun04.ppt.gz,5446686,6646784,,,0.03324317932128906,
31048f9a_MPG_IMET_pac_30N_1980_2000_TALK.cdf.gz,1981969,3041848,,,0.025158405303955078,
65515387_MPG_IMET_pac_165E_1980_2000_O2.cdf.gz,1527177,1766280,,,0.013265371322631836,
c453b790_PIT1.0_ET_PEAU_MLD_1948_2004.nc.gz,3188793,7496408,,,0.0478978157043457,
4bb94d1b_d13c.tar.gz,9539617,105359360,,,0.44116735458374023,
d2cb142f_ECO_CCSM_2D.nc.gz,46743994,63458976,,,0.5029747486114502,
7f8e80a9_pacific_co2flx.avi.gz,11218337,111098268,,,0.5743730068206787,
93bf14b6_MPI_MET_PO4_climatology_1x1_npac.cdf.gz,9351412,18138548,,,0.11496210098266602,
1c1d11e3_pco2_8098_mit_pacific.nc.gz,107372087,157762964,,,1.2149498462677002,
de4b5d8d_PIT1.0_ET_PEAU_CO2flux_1949_2004_month.nc.gz,3980780,7567464,,,0.04473614692687988,
a728477a_t15_1880_2100_heat.nc.gz,543680652,1127953980,,,8.278234243392944,
956b7e35_pacific_pco2.avi.gz,12487372,111098266,,,0.598761796951294,
ce6e0142_sr1b_74JC20151217_ct1.tar.gz,617397,3624960,,,0.019034624099731445,
096e4c35_PIT1.0_ET_PEAU_SSS_1948_2004.nc.gz,9457227,17313212,,,0.13242650032043457,
e3c63204_KofuMaru.csv.tar.gz,520828,3563520,,,0.017787456512451172,
ba1d25ca_ex_2009_all.tar.gz,648458,2283520,,,0.015166759490966797,
4b5c84a2_MOBI0.2.tar.gz,40851753,115906560,,,0.7155375480651855,
af9943d2_PIT1.0_ET_PEAU_PO4_1948_2004.nc.gz,441614640,536388684,,,4.713342905044556,
33301e65_MPG_IMET_pac_155W_1980_2000_PO4.cdf.gz,1444655,1766288,,,0.01871514320373535,
b0c5f11f_MPI_MET_CO2f_1x1_npac.cdf.gz,25905349,44161424,,,0.29764699935913086,
c0156f7a_pacific_pco2_cycle.avi.gz,443522,5847520,,,0.024283170700073242,
885bcfaa_KeifuMaru1_2001_2009.CSV.tar.gz,1207021,7659520,,,0.039253950119018555,
df310c2d_uv_clim_umd.nc.gz,1410841,1997524,,,0.013141155242919922,
7cc36c7a_MPG_IMET_pac_30N_1980_2000_TEMP.cdf.gz,2329498,3041712,,,0.021721839904785156,
77889fe6_fei_ROMS_for_galen_add_more.nc.gz,596835810,1152154608,,,8.842773675918579,
f0ec9a0b_npac_section30n.nc.gz,12834364,20792764,,,0.1431427001953125,
04b40610_ECO_CCSM_section_165W.nc.gz,23366747,28433160,,,0.22251200675964355,
aaf1b9a5_MPI_MET_v_1x1_npac.cdf.gz,30845077,44161580,,,0.2940192222595215,
8163ff8f_MPG_IMET_pac_155W_1980_2000_TEMP.cdf.gz,1440222,1766152,,,0.012976408004760742,
75799d79_UVclim_mit_pacific_at15m.nc.gz,6836114,16609304,,,0.10970091819763184,
e7e2cfaf_sss_8098_mit_pacific.nc.gz,51972292,157763044,,,0.9935586452484131,
51d876d0_var_ocmip_h2000_new.cdf.gz,360231196,575364448,,,4.238424301147461,
ae843dd6_PIT1.0_ET_PEAU_SST_1948_2004.nc.gz,10369405,17313212,,,0.11838197708129883,
b5b01b60_MPG_IMET_pac_155W_1980_2000_SALT.cdf.gz,1245381,1766148,,,0.01568770408630371,
aebe79d8_LDEO_Database_V2009.txt.tar.gz,125344745,511989760,,,3.2115678787231445,
18942cf6_KeifuMaru2_2009_2011.CSV.tar.gz,338144,2222080,,,0.011529922485351562,
fa88d22a_MPI_MET_CO2fcon_1x1_npac.cdf.gz,25813483,44161432,,,0.2793242931365967,
8f3c2f46_MPG_IMET_pac_155W_1980_2000_TALK.cdf.gz,1248649,1766288,,,0.01568436622619629,
5f383f48_fei_NCOM_for_galen_add_more.nc.gz,158533548,322033812,,,2.440894842147827,
a4f662ec_MPG_IMET_pac_155W_1980_2000_O2.cdf.gz,1459212,1766280,,,0.013162374496459961,
18f9829c_pacific_co2flx_anom.avi.gz,10807076,111098272,,,0.5118269920349121,
3ab7d048_McKinley_02Jun04.ppt.gz,5446686,6646784,,,0.0334935188293457,
5a1f1c3a_MOBI0.2.tar.gz,40851753,115906560,,,0.6662559509277344,
686cf5a7_PIT1.0_ET_PEAU_O2_1948_2004_155W.nc.gz,4305129,5099584,,,0.03823447227478027,
818d883a_PIT1.0_ET_PEAU_SAL_1948_2004_155W.nc.gz,3426692,5099500,,,0.04392242431640625,
ee44483f_RyofuMaru2_1995_1999.CSV.tar.gz,193323,942080,,,0.005484819412231445,
b0dd76c6_MPG_IMET_pac_30N_1980_2000_DIC.cdf.gz,2148151,3041864,,,0.024082422256469727,
04b821e5_npac_clim_zgrid_umd.nc.gz,36766461,59877164,,,0.45156192779541016,
b4e0cd22_PIT1.0_ET_PEAU_V_1948_2004_155W.nc.gz,4368284,5099500,,,0.036828041076660156,
4163aaa7_P_clim_mit_pacific_1265.nc.gz,117167930,265700032,,,1.6977510452270508,
27fc941a_PIT1.0_ET_PEAU_V_1948_2004_165W.nc.gz,4414331,5353996,,,0.038155317306518555,
9578ca3a_ECO_CCSM_section_30N.nc.gz,9682675,12189576,,,0.09392881393432617,
869cb365_MPG_IMET_pac_165E_1980_2000_TEMP.cdf.gz,1525796,1766152,,,0.013436555862426758,
742b9508_LDEO_Database_V2010.txt.tar.gz,139584094,570009600,,,3.601477861404419,
61b08e7e_MPG_IMET_pac_165E_1980_2000_PO4.cdf.gz,1525614,1766288,,,0.013594865798950195,
65cdd10a_TSclim_mit_pacific_1265.nc.gz,167792931,531397920,,,3.2631149291992188,
db2be288_SantaLucia-SantaMaria_2002-2007.txt.tar.gz,58056663,301547520,,,1.7899022102355957,
b7f79f8e_LDEO_Database_V2008.txt.tar.gz,118307681,483584000,,,3.0435116291046143,
da2860bc_LineP_1985_2010_All_Data.tar.gz,386589,2314240,,,0.012326478958129883,
b4c30610_ECO_CCSM_3D_clim.nc.gz,4615906,6900752,,,0.05240678787231445,
f0e97cec_ex_2011_all.tar.gz,2506607,8949760,,,0.06003093719482422,
ae863978_MPG_IMET_pac_30N_1980_2000_SALT.cdf.gz,1960357,3041708,,,0.025101900100708008,
eaf77239_pacific_pco2_anom.avi.gz,11918194,111098270,,,0.5224475860595703,
c90fabf4_ex_2008_all.tar.gz,460568,1280000,,,0.008472681045532227,
1b88ac3d_PIT1.0_ET_PEAU_TEMP_1948_2004_165W.nc.gz,4154064,5354004,,,0.0382390022277832,
f570b10e_var_ocmip_h2000_specjo2.cdf.gz,320747412,511876316,,,3.4940567016601562,
1725f097_SK_all_data.tar.gz,2441185,11591680,,,0.06873440742492676,
7b23f87c_MPI_MET_pCO2con_1x1_npac.cdf.gz,28601701,44161420,,,0.31588196754455566,
d0c92e70_MPI_MET_sst_1x1_npac.cdf.gz,23769669,44161576,,,0.2888627052307129,
5afe51b3_PIT1.0_ET_PEAU_TEMP_1948_2004_155W.nc.gz,4106183,5099504,,,0.03750157356262207,
10b595fe_pacific_co2flx_cycle.avi.gz,466634,5847522,,,0.023832082748413086,
b6894fa8_PIT1.0_ET_PEAU_DIC_1948_2004.nc.gz,384747366,536388684,,,4.663236141204834,
dc185120_npac_sfc_umd.nc.gz,45745613,69857028,,,0.5103917121887207,
ad6b5c82_MPI_MET_u_1x1_npac.cdf.gz,30916223,44161580,,,0.29606008529663086,
e4979b0e_PIT1.0_ET_PEAU_PCO2_1949_2004_month.nc.gz,3614607,7567460,,,0.047119855880737305,
d5da4128_MPI_MET_mld_1x1_npac.cdf.gz,24742831,44161576,,,0.28137707710266113,
17573507_ex_2002_all.tar.gz,1244328,4904960,,,0.030659198760986328,
04e99887_co2flx_8098_mit_pacific.nc.gz,66813931,157763264,,,1.053588628768921,
93e9e6f8_MPI_MET_SALT_climatology_1x1_npac.cdf.gz,7994497,18138536,,,0.1252460479736328,
61120291_PIT1.0_ET_PEAU_U_1948_2004_165W.nc.gz,4430394,5353996,,,0.0393824577331543,
8e02802f_npac_section155w.nc.gz,12867380,15878608,,,0.1258866786956787,
89181d3c_MPI_MET_sss_1x1_npac.cdf.gz,21495100,44161576,,,0.3164701461791992,
098c85b4_PIT1.0_ET_PEAU_U_1948_2004_155W.nc.gz,4383585,5099500,,,0.036669254302978516,
860544c7_MPG_IMET_pac_165E_1980_2000_SALT.cdf.gz,1301001,1766148,,,0.016774654388427734,
290899c5_RyofuMaru3_2000_2009.CSV.tar.gz,1088762,6778880,,,0.03494000434875488,
862d6be6_LDEO_Database_V2011.csv.tar.gz,172963311,695040000,,,4.7188966274261475,
6be81c4a_ex_2010_all.tar.gz,2388942,8478720,,,0.05739760398864746,
bad69eec_MPI_MET_pCO2_1x1_npac.cdf.gz,28571187,44161412,,,0.3202078342437744,
953436a8_PIT1.0_ET_PEAU_O2_1948_2004_165W.nc.gz,4516500,5354088,,,0.04125261306762695,
d1dcbd67_MPG_IMET_pac_30N_1980_2000_PO4.cdf.gz,2353644,3041848,,,0.021817445755004883,
c756e2fd_MPG_IMET_pac_165E_1980_2000_TALK.cdf.gz,1302533,1766288,,,0.016579151153564453,
98329366_RyofuMaru1_1989_1995.CSV.tar.gz,81969,430080,,,0.0025238990783691406,
80c06900_MPG_IMET_pac_165E_1980_2000_DIC.cdf.gz,1430593,1766304,,,0.01442861557006836,
0ea39ee8_npac_section165e.nc.gz,13136146,15878608,,,0.12560462951660156,
917fae1a_sst_8098_mit_pacific.nc.gz,58490650,157763136,,,1.0158541202545166,
aa28fac8_MPI_MET_TEMP_climatology_1x1_npac.cdf.gz,9345610,18138548,,,0.1147470474243164,
c8e341b6_MPG_IMET_pac_30N_1980_2000_O2.cdf.gz,2358893,3041840,,,0.022314071655273438,
8ffdc2a9_AH_All_Data.tar.gz,4207151,14049280,,,0.09686875343322754,
f170ea25_PISCES_1948_2004_Cflx.nc.gz,43588360,74203496,,,0.46605801582336426,
