file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
881f4132_35MJ20150312_bundle.zip,193551,751908,751908,8,0.012290716171264648,0.00018715858459472656
e043d435_642B20150108_bundle.zip,369607,2854397,2854397,8,0.028135299682617188,0.00016021728515625
07dc18f3_33GG20140301_bundle.zip,229487,749558,749558,8,0.008710861206054688,0.00014019012451171875
c9192287_SOCAT_tracks_gridded_yearly_v3.1.zip,3590476,139975320,139975320,8,0.4819302558898926,0.00018453598022460938
c07e315b_26NA20140114_bundle.zip,89485,378154,378154,8,0.0026433467864990234,8.153915405273438e-05
12da5f59_26NA20140523_bundle.zip,46958,188400,188400,8,0.0015234947204589844,8.177757263183594e-05
4a409e59_PANC20141114_bundle.zip,254600,781686,781686,8,0.005949974060058594,9.274482727050781e-05
37e9912b_33GG20110414_bundle.zip,121644,552437,552437,8,0.0036149024963378906,8.702278137207031e-05
bbb615be_49RY19900121_bundle.zip,8554,42380,42380,8,0.0006358623504638672,8.034706115722656e-05
a7f88589_33HH20141007_bundle.zip,373833,1185115,1185115,8,0.008826255798339844,8.7738037109375e-05
81b46177_PAT520110107_bundle.zip,919570,1446659,1446659,8,0.008869647979736328,8.702278137207031e-05
ef9838c7_IN2015_V01_096U20150321_ct1.zip,146145,659757,659757,8,0.004521846771240234,0.00011181831359863281
8e7cc9cf_PAT520150211_bundle.zip,134670,344740,344740,8,0.003019094467163086,9.202957153320312e-05
e574787c_ALL_CTDS_nc.zip,1381920,3621492,3621492,8,0.02932453155517578,0.0002665519714355469
a4079a7f_49UP20031007_bundle.zip,19081,114196,114196,8,0.0009386539459228516,8.58306884765625e-05
e5ab4446_33HH20140411_bundle.zip,348215,1050538,1050538,8,0.007563352584838867,8.606910705566406e-05
58e1580f_PAT520141118_bundle.zip,144542,392589,392589,8,0.0032854080200195312,9.107589721679688e-05
50979a59_33WA20150610_bundle.zip,368247,1568593,1568593,8,0.009254932403564453,8.7738037109375e-05
2c48bca1_SOCATv2_SouthernOceans.zip,58054238,470837964,470837964,8,2.206054210662842,0.0006673336029052734
8e56956f_33WA20150921_bundle.zip,161224,467009,467009,8,0.0035102367401123047,9.298324584960938e-05
adb1e847_49UP20000421_bundle.zip,29623,168953,168953,8,0.001262664794921875,8.034706115722656e-05
09aeabb3_74JC20130226_bundle.zip,361689,429551,429551,8,0.004561424255371094,0.00010728836059570312
d3d810ed_26NA20140408_bundle.zip,102523,431250,431250,8,0.0029447078704833984,8.20159912109375e-05
cccb9389_642B20150430_bundle.zip,451151,3591057,3591057,8,0.01748347282409668,0.00010061264038085938
0e0c21e5_49UF20051102_bundle.zip,25505,164444,164444,8,0.0012197494506835938,8.130073547363281e-05
459c9032_61TG20150804_bundle.zip,960169,3627926,3627926,8,0.022945165634155273,0.00011944770812988281
c1157f57_49UF20090116_bundle.zip,38203,265647,265647,8,0.001634836196899414,8.082389831542969e-05
86b5e128_642B20150722_bundle.zip,502835,3815191,3815191,8,0.018299579620361328,9.846687316894531e-05
c64ecc51_91AA20090210_bundle.zip,1998789,4544715,4544715,8,0.030679941177368164,0.00010943412780761719
f1ab42de_09AR20120317_bundle.zip,1041009,4515076,4515076,8,0.025273799896240234,9.942054748535156e-05
8033020a_33WA20120713_bundle.zip,107283,227207,227207,8,0.0019330978393554688,8.654594421386719e-05
