file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
b2ca398b_OUTCAR.gz,1687459,6942706,,,0.08314990997314453,
ab22ab8f_OUTCAR.gz,1721030,7018411,,,0.05730938911437988,
ee93a795_OUTCAR.gz,1516742,5903260,,,0.0377347469329834,
c352f2d0_OUTCAR.gz,1611520,6659172,,,0.04129791259765625,
a3e1a32f_OUTCAR.gz,1688060,6942608,,,0.04242539405822754,
6fce34ff_OUTCAR.gz,1740857,7097589,,,0.04439496994018555,
bd99ce85_OUTCAR.gz,1600215,6635497,,,0.04110097885131836,
01a407a0_OUTCAR.gz,1703804,6936887,,,0.043134450912475586,
64ca2183_OUTCAR.gz,1501410,5847356,,,0.036015987396240234,
adb96e0f_fchl_g4mp2.pkl.gz,64238104,360160761,,,2.036450147628784,
57e3fe1a_OUTCAR.gz,1722819,7020535,,,0.04277610778808594,
04941772_OUTCAR.gz,1719777,7014999,,,0.04186511039733887,
9e8dee26_OUTCAR.gz,1701429,6939526,,,0.041168212890625,
9834d3c3_OUTCAR.gz,1743105,7091451,,,0.041887760162353516,
fc1af674_OUTCAR.gz,1518266,5903543,,,0.03645038604736328,
fa20f647_OUTCAR.gz,1723057,7017733,,,0.04225802421569824,
7817bcaf_OUTCAR.gz,1531843,5955431,,,0.0366971492767334,
4db29383_OUTCAR.gz,1697708,6943176,,,0.04119539260864258,
4dc03fa5_OUTCAR.gz,1606761,6643250,,,0.03918194770812988,
1fe08416_OUTCAR.gz,1673319,6865870,,,0.04037618637084961,
87fd9ac7_OUTCAR.gz,80529686,332799382,,,2.1933326721191406,
4060c125_OUTCAR.gz,1694993,6941626,,,0.04245758056640625,
8917b99b_OUTCAR.gz,1742195,7096917,,,0.0426180362701416,
e5a9831d_OUTCAR.gz,1501968,5845695,,,0.03594541549682617,
c18c0d63_OUTCAR.gz,1687888,6941178,,,0.04145455360412598,
40569421_OUTCAR.gz,1718295,7017898,,,0.042012691497802734,
4c8cc1f9_OUTCAR.gz,1719774,7020127,,,0.041953325271606445,
c91c9780_OUTCAR.gz,1687064,6941322,,,0.04142355918884277,
51ff6f5b_OUTCAR.gz,1673886,6860657,,,0.04092741012573242,
e8cc5c1d_OUTCAR.gz,1609173,6715362,,,0.03958845138549805,
13a1d9f4_OUTCAR.gz,1719672,7022022,,,0.04199409484863281,
d1cb31fc_fchl-delta.pkl.gz,65535168,515641833,,,2.5995595455169678,
25a2d5d1_OUTCAR.gz,1721036,7019146,,,0.0434114933013916,
664aafb0_OUTCAR.gz,1741431,7093944,,,0.042499542236328125,
9a79e233_OUTCAR.gz,1719116,7016790,,,0.04227304458618164,
ca980e1b_OUTCAR.gz,1611502,6653474,,,0.0393071174621582,
82f099ca_OUTCAR.gz,1695950,6942991,,,0.04154038429260254,
1d28a075_OUTCAR.gz,1673225,6863782,,,0.041332244873046875,
227eb4cb_OUTCAR.gz,1677640,6864911,,,0.04089665412902832,
9d6e4f6f_OUTCAR.gz,1611067,6653237,,,0.03918623924255371,
f12b1ca2_OUTCAR.gz,1516196,5898972,,,0.03625059127807617,
a6a7b0cb_OUTCAR.gz,1611236,6658151,,,0.03917837142944336,
baaab28d_OUTCAR.gz,1741325,7091320,,,0.042372941970825195,
a35eb699_OUTCAR.gz,1611067,6653237,,,0.03932070732116699,
3fd2b142_OUTCAR.gz,1695284,7186853,,,0.041648149490356445,
ce1e495d_OUTCAR.gz,1698262,6945765,,,0.04173755645751953,
e02f7456_OUTCAR.gz,27,0,,,0.00014019012451171875,
d2deee4b_OUTCAR.gz,27,0,,,0.00012135505676269531,
c45aad39_OUTCAR.gz,1517919,5903256,,,0.03656315803527832,
e54feefc_OUTCAR.gz,1696230,6937748,,,0.04160618782043457,
d42e2363_OUTCAR.gz,1615432,6179843,,,0.0384213924407959,
042b0287_OUTCAR.gz,1516649,5903572,,,0.0364530086517334,
3843dda0_OUTCAR.gz,1609890,6647861,,,0.03919672966003418,
e1acb2af_OUTCAR.gz,1690545,6943122,,,0.04148149490356445,
a7175ae9_OUTCAR.gz,1611275,6656417,,,0.03926873207092285,
2e668e55_OUTCAR.gz,1743951,7095194,,,0.04277372360229492,
15ce6b84_OUTCAR.gz,1687959,6942700,,,0.04147815704345703,
17dbfa8b_OUTCAR.gz,1518517,5901363,,,0.03631138801574707,
d58fd065_OUTCAR.gz,1678998,6885183,,,0.04094862937927246,
9f868f5f_OUTCAR.gz,1695201,6942410,,,0.04148387908935547,
e3df6266_OUTCAR.gz,1728538,7039402,,,0.042207956314086914,
712daf62_OUTCAR.gz,1611059,6656139,,,0.039472341537475586,
fb311e83_OUTCAR.gz,1685693,6938199,,,0.04164862632751465,
5a74810e_OUTCAR.gz,1611601,6653473,,,0.0393521785736084,
4757113c_OUTCAR.gz,1609056,6645853,,,0.03920793533325195,
7f66700e_g4mp2_data.json.gz,77967704,262902721,,,1.9421367645263672,
29e705f4_OUTCAR.gz,1684681,7182464,,,0.04297018051147461,
0ce1b188_OUTCAR.gz,1719035,7023876,,,0.042196035385131836,
739a53da_OUTCAR.gz,1750176,7098164,,,0.0428919792175293,
464122e9_OUTCAR.gz,1522375,5904820,,,0.03650474548339844,
2276c5b7_OUTCAR.gz,1523507,5897426,,,0.03651881217956543,
123822e8_OUTCAR.gz,1686210,6941070,,,0.041433095932006836,
21b99a09_OUTCAR.gz,1698139,6948368,,,0.041551828384399414,
225566bd_OUTCAR.gz,1718315,7018781,,,0.04214048385620117,
245717d9_OUTCAR.gz,1598509,6634310,,,0.03915524482727051,
0cf65ccc_OUTCAR.gz,1722725,7020123,,,0.04210472106933594,
6691335e_OUTCAR.gz,1673799,6865870,,,0.04096722602844238,
37bb2ec7_OUTCAR.gz,1801913,7097473,,,0.043085336685180664,
940815bc_OUTCAR.gz,1517877,5902776,,,0.03638958930969238,
900ef3d8_OUTCAR.gz,1609056,6645853,,,0.0392765998840332,
cbf8cdc2_OUTCAR.gz,1609540,6649937,,,0.03924965858459473,
bfe8434a_OUTCAR.gz,1609417,6653165,,,0.039336204528808594,
7cb144a4_OUTCAR.gz,27,0,,,0.00014853477478027344,
f9ddb39f_OUTCAR.gz,1686205,6938297,,,0.04147171974182129,
