compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
13197624,51832920,51832920,8,0.3072078227996826,0.0004980564117431
23814605,26135361,26135361,8,0.1832234859466552,0.0002167224884033
306497,1691384,1691384,8,0.0093364715576171,0.0001692771911621
3348708,12535588,12535588,8,0.0797712802886962,0.0004262924194335
2317594,2418573,2418573,8,0.0166466236114501,9.131431579589844e-05
860701,926453,926453,8,0.0065064430236816,9.179115295410156e-05
5424110,5769094,5769094,8,0.0393459796905517,9.298324584960938e-05
4960239,50749016,50749016,8,0.2074995040893554,0.0004987716674804
22733861,200692504,200692504,8,0.851919412612915,0.0004844665527343
15548,25525,25525,8,0.001253604888916,0.0001428127288818
30149248,31246506,31246506,8,0.2160460948944091,0.0001356601715087
1906111,10988122,10988122,8,0.0601704120635986,0.0004785060882568
24629239,29374650,29374650,8,0.1976535320281982,0.0002076625823974
4500930,4652974,4652974,8,0.0347201824188232,0.0001723766326904
17816505,202749226,202749226,8,0.7746458053588867,0.0004677772521972
1019880,1081239,1081239,8,0.0077202320098876,9.27448272705078e-05
3643238,27681600,27681600,8,0.1173603534698486,0.0001437664031982
7416800,8022767,8022767,8,0.05544114112854,0.0001733303070068
4297158,4447506,4447506,8,0.0322284698486328,0.0001740455627441
4650853,5367227,5367227,8,0.0348565578460693,9.250640869140624e-05
1556778,7806068,7806068,8,0.0458540916442871,0.0004503726959228
32509783,232612732,232612732,8,1.0203022956848145,0.0004749298095703
32125782,232612732,232612732,8,1.0181493759155271,0.0004744529724121
36396357,235535932,235535932,8,1.1716349124908447,0.000460147857666
8502000,36663816,36663816,8,0.2051482200622558,0.0004687309265136
30209975,35478497,35478497,8,0.2362596988677978,0.0002069473266601
1469121,1582872,1582872,8,0.0110116004943847,9.250640869140624e-05
1236035,1368351,1368351,8,0.0093245506286621,9.03606414794922e-05
7072679,8548743,8548743,8,0.0580122470855712,0.0001740455627441
5597572,5974501,5974501,8,0.0392124652862548,9.202957153320312e-05
